Pattern;Replacement;Taxonomic level
Acanthoecidae_Group_G;Acanthoecidae;Family
Basal_Cryptophyceae;Cryptophyceae_XX;Family
Rhynosporidae_.*;Rhynosporidae;Family
Ichthyophonidae_.*;Ichthyophonidae;Family
Stephanoecidae_Group_[DHI];Stephanoecidae;Family
Monosigidae_Group_[ABMO];Monosigidae;Family
Salpingoecidae_Group_C[1-3];Salpingoecidae;Family
Arcellinida_X.*|Arcellinida-A1;Arcellinida_XX;Family
Choanoflagellatea_X_New_Choanos;Choanoflagellatea_XX;Family
Breviatidea_X.*;Breviatidea_X;Family
Nucleariidae_.*;Nucleariidae;Family
Nucleariidae_.*_X;Nucleariidae_X;Genus
Breviatidea_XX.*;Breviatidea_XX;Genus
Mycamoeba.*lineage;Mycamoeba;Genus
Uronema_Chlorophyceae;Uronema;Genus
Choanoflagellatea_X_New_Choanos_X;Choanoflagellatea_XXX;Genus
Spizellomycetales-and-Rhizophlyctidales;Chytridiomycetes_X;Genus
LKM11-Rozella_XX;Cryptomycotina_XX;Genus
Ichthyophonidae_.*_X;Ichthyophonidae_X;Genus
Staurosirella_Nanofrustulum;Araphid-pennate_X;Genus
Emiliania_Gephyrocapsa;Noelaerhabdaceae_X;Genus
Basal_Cryptophyceae_X;Cryptophyceae_XXX;Genus
Crustomastigaceae-AB;Crustomastigaceae_X;Genus
Rhynosporidae_.*_X;Rhynosporidae_X;Genus
